"coordinates","name","start_methods","Nid","beds","bicycle","camping","distancetogrocery","freq","fueltypes","anchorpoints","dates","waterstation","mobile","oxygen","runway","sleepinworkshop","parkinhangar"
"48.7783, 10.265","Aalen-Elchingen","a499, amg, app, s","152","Yes","No","Yes","2 km","121.40MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20140929T215959Z;WKST=MO","Yes","+49 173 9641703","No","grass, concrete / asphalt","Yes","For two 15m gliders or one 20m glider in most cases"
"52.3769, 7.91194","Achmer","w, amg, app, s","70","In most cases yes","No","Yes","3 km","123.05MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO
RDATE:20150426T220000Z,20150427T220000Z,20150428T220000Z,20150429T220000Z,20150430T220000Z,20150503T220000Z,20150504T220000Z,20150505T220000Z,20150506T220000Z,20150507T220000Z,20150513T220000Z,20150519T220000Z,20150520T220000Z,20150521T220000Z,20150625T220000Z,20150709T220000Z,20150723T220000Z,20150726T220000Z,20150727T220000Z,20150728T220000Z,20150729T220000Z,20150730T220000Z,20151002T220000Z","Yes","0049 17610097326","No","grass","No","Can be arranged, if requested in advance"
"45.7386, 7.3625","Aeroclub Valle d'Aosta - Aosta LIMW -","app","773","No","No","No","1 km","119.95MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20151231T225959Z;WKST=MO","Yes","+393472743291  Attiglio Viglino","Yes","concrete / asphalt","No","For one 15m glider in most cases"
"39.94, -3.50417","Aerodromo de Ocana","app, s","145","Yes","No","No","at the airport","122.60MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas), Super unleaded, JetA1, Two stroke engine oil","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=330;WKST=MO","Yes","617191258","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"39.5556, -3.25167","Aerodromo La Mancha  LEMX","w, s","625","No","No","No","3 km","123.45MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141231T225959Z;WKST=MO","Yes","0034 679783652","No","grass","No","Can be arranged, if requested in advance"
"38.6133, 21.3934","AGRINION AIRFIELD","w, s","155","No","No","Yes","1 km","123.65MHz","Super Plus (Mogas), Super unleaded, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=FR,SA,SU;UNTIL=20131027T225959Z;WKST=MO","Yes","00306944776531","Yes","concrete / asphalt","No","Can be arranged, if requested in advance"
"50.5932, 7.945","Ailertchen EDGA","app, s","255","In most cases yes","Yes","Yes","at the airport","123.05MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=200;WKST=MO
RDATE:20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z,20150806T220000Z,20150809T220000Z,20150810T220000Z,20150811T220000Z,20150812T220000Z,20150813T220000Z","Yes","0049-2663-7404","No","grass","Yes","Can be arranged, if requested in advance"
"49.0781, 21.0993","Airport Raznany LZRY","a699, app","149","Yes","No","Yes","3 km","122.60MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141231T225959Z;WKST=MO
RDATE:20130507T220000Z,20130704T220000Z","No","00421903226024 00421918301398 (ultralight towing daily 00421914330115)","No","grass","No","Can be arranged, if requested in advance"
"49.3872, 11.4218","Altdorf-Hagenhausen","w, amg","12","No","No","No","> 3 km","129.98MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131006T215959Z;WKST=MO
RDATE:20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z,20150806T220000Z,20150809T220000Z,20150810T220000Z,20150811T220000Z,20150812T220000Z,20150813T220000Z","Yes","+499189440818","No","grass","No","No"
"51.3131, 7.70417","Altena-Hegenscheid EDKD","w, app, s","235","No","No","Yes","2 km","122.20MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130817T215959Z;WKST=MO","Yes","01713141639","No","grass","No","For one 15m glider in most cases"
